channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled
おるたなChannel,28,18.15.02,【演技】クサすぎるセリフ王決定戦！！！【学校編】,24,2018-02-14T11:00:06.000Z,412452,13326,532,2129,False
ごみくずニートの人生,28,18.14.02,5万発目指せる引きでさらば諭吉【ビッグドリーム】このごみ255養分パチ,24,2018-02-13T02:15:23.000Z,134880,621,185,176,False
SMTOWN,28,18.13.02,[MESSAGE FROM.TVXQ!] 2018 S.M. GLOBAL AUDITION,10,2018-02-12T06:00:01.000Z,55235,5521,66,513,False
あんてな速報芸能,28,18.17.02,羽生結弦、平昌五輪の演技後”とんでもない事態”が会場で起こるw【フィギュア首位が見せた奇跡】,22,2018-02-16T08:33:21.000Z,700419,1531,822,388,False
朝日新聞社,28,18.10.02,ハンドル、エンジンが２つ…インドネシアのヘンな改造車,2,2018-02-09T22:01:37.000Z,2362,33,4,0,True
三納物語,28,18.28.02,勝手にエレベーターガールになってみた,24,2018-02-27T10:03:02.000Z,146432,5469,347,874,False
てきとう太郎,28,18.07.02,【ゆっくり茶番】恵方巻の復讐,24,2018-02-06T08:00:01.000Z,23572,602,40,655,False
ゴウキ/Gouki BOOK,28,18.07.03,【アニメ】ユーチューバーチップス,1,2018-03-06T06:00:00.000Z,143536,2046,240,257,False
【いじりネタ系youtuber】よりひと,28,18.03.03,【桐崎栄二が公職選挙法違反】ニュースでも取り上げられる,1,2018-03-02T14:41:16.000Z,145019,3149,561,881,False
Netflix Japan,27,18.08.02,テラスハウス オープニング ニュー ドアーズ 山チャンネル Vol.7「正直に言います、尊敬してます」,24,2018-02-06T10:00:05.000Z,72459,575,25,250,False
FM24/7 HD,27,18.24.03,優勝候補同士の一戦はドロー…スペインが開始早々に先制、ドイツがミュラー弾で追い付く 24/3/2018 HD 1080p,17,2018-03-24T00:27:27.000Z,89214,368,34,571,False
mrpenta,27,18.12.02,今日の シャンシャン　２月１１日　上野動物園　パンダ  香香,15,2018-02-11T05:42:17.000Z,8944,0,0,0,True
oricon,26,18.20.02,欅坂46、綾野剛と共演　シュールな演技に挑戦　ドコモの学割TVCM「ハピチャン」篇,24,2018-02-19T15:00:02.000Z,65488,1247,24,236,False
山本まどか,26,18.12.02,【羽生結弦】ついに韓国到着！動いている羽生選手の姿に涙！→「警備員の数が国賓級！」（山本まどか）,17,2018-02-11T08:39:03.000Z,12479,206,5,9,False
よさこいバンキッシュ,26,18.09.02,【奇跡】卍の書き順分かる奴0人説検証中にハプニング連発wwwww,23,2018-02-08T11:35:06.000Z,108568,2454,216,275,False
あなたのエンタメ,26,18.14.02,貴乃花に寺尾が放った一言に一同驚愕！理事候補選での裏事情がやばすぎる...,22,2018-02-13T07:22:29.000Z,110343,1494,442,74,False
【公式】竹田恒泰チャンネル,26,18.09.02,2/8も8時から！竹田恒泰の生放送！「日本のソボクなギモン」第269回※後半はニコ生、FRESH!へ！｜【公式】竹田恒泰チャンネルのライブ ストリーム,25,2018-02-08T14:17:20.000Z,35881,498,47,41,False
usagi,26,18.19.02,【料理】得意のオムライス☆ライスがしっとり優しいお味❤︎【一人暮らし】,22,2018-02-18T10:54:24.000Z,9788,0,0,0,True
ウマヅラビデオ,26,18.31.03,となりのトトロのトトロは死んだ人にしか見えない死神だった【都市伝説】,23,2018-03-30T13:02:09.000Z,206804,4357,469,2491,False
erika,25,18.18.02,【平昌五輪】金メダルを取った羽生結弦が宇野昌磨にしたある気遣いにファン涙！ノーミスのSPで連覇おめでとう【erika】#hanyuyuzuru,22,2018-02-17T06:18:34.000Z,22201,156,29,10,False
みさわ,25,18.17.02,【遊戯王】レジ前に売っていた「レリーフくじ」に30回挑戦したら〇〇がヤバ過ぎた！！！,24,2018-02-16T10:00:01.000Z,114628,635,528,190,False
TYPE-MOON MOVIE,25,18.11.02,『復刻版:空の境界/the Garden of Order -Revival-』告知CM,20,2018-02-10T15:30:28.000Z,159576,2869,63,451,False
KOREAとぎもち 토기모치,25,18.06.04,【モッパン】韓国の中華、チャジャン麺とタンスユク食べる。(中華料理上海),24,2018-04-05T07:29:10.000Z,135987,2806,266,810,False
EveEve in 銀座 - 大人の恋愛サポートメディア,25,18.26.04,【知らないとやばい】老けてみえる非モテ男性の特徴４選【イヴイヴ in 銀座】,24,2018-04-25T09:30:01.000Z,40955,128,63,73,False
Cute kitten（双子の子猫のわんぱく日記）,25,18.21.02,廃線が決まったねこバス、生まれ変わって再出発！？,15,2018-02-20T09:00:00.000Z,12967,496,2,35,False
A.I.Channel,25,18.13.02,『ハッピーシンセサイザ』 踊って歌ってみた！,1,2018-02-12T11:13:24.000Z,165799,11606,387,2695,False
Namie News Network,24,18.16.02,安室奈美恵 ZEROに語った・引退発表までの“葛藤”,22,2018-02-15T16:18:27.000Z,17769,349,14,24,False
SynthesisTV 2号機,24,18.15.04,ゼロツー「やっと会えた...ダーリン...」【ダーリン・イン・ザ・フランキス】DARLING in the FRANXX,1,2018-04-14T15:37:17.000Z,84318,329,14,240,False
takkyuu geinin,24,18.12.02,理不尽な先輩と譲らない後輩の結末,22,2018-02-11T02:25:20.000Z,606066,8020,549,1082,False
ロバート秋山の「クリエイターズ・ファイル」,24,18.09.02,ピーター・マイアン①大人気キャラクター『らくだのラディ』の生みの親。家族への愛に満ちたその創作活動を生前の貴重な映像とともにお届けします。【ロバート秋山のクリエイターズ・ファイル#35】,24,2018-02-09T03:00:04.000Z,16608,997,22,395,False
電撃ランキング,24,18.09.02,【衝撃】あなたが知らずに買っているボッタクリ商品６選,25,2018-02-08T10:00:03.000Z,81943,1438,110,679,False
バンドリちゃんねる☆,24,18.24.02,バンドリ！ ガールズバンドパーティ！@ハロハピCiRCLE放送局 第11回,20,2018-02-23T13:10:24.000Z,85679,2167,36,161,False
KAZUYA Channel,24,18.11.02,平昌オリンピック開幕もグダグダ　注目されるのはモルゲッソヨ像,25,2018-02-10T12:00:01.000Z,107544,2236,133,647,False
EveEve Girls - 恋愛サポートメディア,24,18.15.04,【彼氏が幻滅!?】H中のNG行動4選【オトナのEveEve Girls】,24,2018-04-14T11:00:01.000Z,176020,400,462,305,False
Pilipinas Got Talent,24,18.11.02,Pilipinas Got Talent 2018 Auditions: Rodimer Baselotte - Sing,24,2018-02-10T12:14:35.000Z,1599386,27307,614,3195,False
芸能ニュースボックス,24,18.15.02,東方神起は喫煙所に逃げてきたんじゃないよ！「華丸・大吉のなんしようと？」ユノとチャンミンの話題,22,2018-02-15T06:55:24.000Z,5264,117,17,0,False
むるおか君の徒然なるままにガチ実践!,24,18.28.02,俺が行こう。シバターの金で。むるおか君の旅打ち富山編,24,2018-02-27T09:00:09.000Z,162975,1439,532,301,False
東映特撮YouTube Official,24,18.09.02,仮面ライダー響鬼　第16話[公式],1,2018-02-09T01:00:01.000Z,17161,244,6,289,False
欅坂46 OFFICIAL YouTube CHANNEL,24,18.24.02,欅坂46 『バスルームトラベル』,10,2018-02-24T03:00:02.000Z,197593,18689,309,5664,False
EveEve - 恋愛サポートメディア,23,18.24.03,渋谷女子に初〇ッチについて聞いてみた。【イヴイヴ】,24,2018-03-23T09:00:04.000Z,433939,937,470,472,False
ホームラン速報,23,18.04.03,緒方 凌介 1号 オープン戦 バックスクリーン ソロ ホームラン 2018年3月3日 ソフトバンクvs阪神,17,2018-03-03T22:49:22.000Z,7888,63,4,26,False
ユーチューバー 草彅チャンネル,23,18.09.02,カメレオン,24,2018-02-08T11:00:03.000Z,113779,10371,463,645,False
3M OnePiece,23,18.12.02,Sanji Lying | Luffy Punches Him - One Piece 825,1,2018-02-11T03:14:14.000Z,1005518,4588,260,836,False
M2,23,18.12.02,[릴레이댄스] 세븐틴(Seventeen) - 고맙다(Thanks),24,2018-02-11T11:00:02.000Z,406525,46295,100,2651,False
TVTOKYO,23,18.26.02,【公式】『電影少女 -VIDEO GIRL AI 2018-』 tofubeats「ふめつのこころ」エンディング　天野あいver.（毎週土曜深夜0時20分〜放送中）西野七瀬（乃木坂46）＆野村周平主演,24,2018-02-24T16:20:00.000Z,227803,7029,55,199,False
つるなか,23,18.27.02,【現実】クソ転売ヤー遂に敗北!? 100円から始めるクソ転売ヤー生活 第5話,24,2018-02-26T09:00:03.000Z,259743,2138,561,611,False
NPBぷらす,23,18.25.02,2/24清宮幸太郎・代打で登場　オープン戦初打席,20,2018-02-24T06:37:08.000Z,823343,2014,355,1158,False
ブライトサイド | Bright Side Japan,23,18.25.02,車にダメージを与え出費がかさむ7つの改めるべき運転の習慣,26,2018-02-24T12:27:24.000Z,6056,26,11,3,False
RaRaTv,22,18.10.02,NHK放送事故　平昌オリンピック開会式を閉会式に,22,2018-02-09T13:33:31.000Z,14159,0,0,27,False
はじめしゃちょーの畑,22,18.16.05,大切なお知らせがあります。,24,2018-05-14T11:57:13.000Z,906642,17187,1480,4384,False
猫のきんた。cat kinta,22,18.06.05,抱っこ大好きな猫が要求してくるので抱っこしてあげた！,15,2018-05-05T08:00:02.000Z,133450,2879,52,386,False
芒果TV独播剧场 Mango TV Drama Channel,22,18.01.06,《如果，爱》第9集：嘉玲向宋乔植提出离婚请求 Love Won't Wait EP9【芒果TV独播剧场】,24,2018-05-31T16:43:25.000Z,87838,233,36,112,False
MarcoThePhoenix,22,18.12.02,One Piece 825 – Luffy Wants To Destroy Big Mom Wedding,1,2018-02-11T02:29:22.000Z,451267,3020,67,651,False
JIJIPRESS/時事通信芸能動画ニュース,22,18.17.02,三浦大知、満島ひかりら豪華ゲストと共演,24,2018-02-16T11:15:50.000Z,52871,801,25,47,False
panda chan,22,18.11.02,診察台に乗せられて人生終わった表情でお手する柴犬　Shibe got on the examination table and became a give up facial expressions.,15,2018-02-10T13:29:40.000Z,277005,0,0,0,True
エンタメDEEP,22,18.11.02,草なぎ剛の舞台発表で異常事態発生！,24,2018-02-10T10:40:50.000Z,16498,193,40,19,False
Mnet K-POP,22,18.09.02,[JBJ - Wonderful day] Special Stage | M COUNTDOWN 180208 EP.557,24,2018-02-08T10:36:11.000Z,65290,6166,43,252,False
ウタエル utael,22,18.14.02,ウタエルチャンネルテーマ曲「ヒカルにプロデュースされたかった」【ウタエル】,10,2018-02-13T11:33:19.000Z,56726,2790,173,364,False
スピリッツドアラチャンネル,21,18.06.03,中日ドラゴンズ　松坂大輔 平成の怪物復活なるか！？営業効果も怪物級 グッズ売り上げ年俸1500万円超え,17,2018-03-05T21:31:54.000Z,3439,15,0,5,False
モンスト（モンスターストライク）公式,21,18.11.02,闘会議2018 XFLAG BATTLE STADIUM　2日目【モンスト公式】,20,2018-02-11T08:19:28.000Z,328077,1122,1399,462,False
パチンコ・パチスロ日本代表ｃｈ,21,18.10.02,シバターの成り上がり回胴録スタート！ライター業界をハーデスで成り上がれ！,27,2018-02-09T23:53:14.000Z,41878,497,541,214,False
まるかんアプリ,21,18.12.02,天界の波動  - 選ばれた人しか聞けない話【斎藤一人】,27,2018-02-11T13:00:01.000Z,6881,127,9,3,False
SeikinTV,21,18.19.02,ケンタッキーの骨でダシとったら本格ラーメンできた！,23,2018-02-18T10:04:45.000Z,572458,8803,1373,1920,False
Abood Abuzarqa1,21,18.21.02,#859 Luffy Defeats Navarone's Unit 55 - Luffy destroys the Bridge !,1,2018-02-20T15:59:59.000Z,57597,329,14,42,False
きょんくま,21,18.29.04,【検証】マリオカートは本当にバナナの皮で滑るのか。,1,2018-04-28T09:52:06.000Z,107536,1236,160,329,False
孝志立花,21,18.14.02,覆面をしたまま横山緑が市議会議員選挙に立候補できるかどうか？立川市選挙管理委員会に問合せしました,25,2018-02-13T05:07:19.000Z,8164,183,117,82,False
SHIN GEN,21,18.08.02,移ろい行く凝塊 521,23,2018-02-07T08:23:25.000Z,10467,184,28,81,False
兄者弟者,21,18.13.03,2broRadio【vol.88】,20,2018-03-12T10:54:37.000Z,179985,3953,109,175,False
UNIVERSAL MUSIC JAPAN,21,18.10.02,Mrs. GREEN APPLE - 春愁,10,2018-02-09T10:00:03.000Z,124500,9103,27,591,False
