name,value,year,lastValue,rank
CANADA,31554,2017,244,17
CANADA,35323,2017,326,17
CANADA,199066,2017,16418,17
CANADA,357052,2017,18377,17
CANADA,155826,2017,14207,17
CANADA,3701763,2017,56562,17
CANADA,73559,2017,415,17
CANADA,107200,2017,10306,17
CANADA,281980,2017,26289,17
CANADA,65018,2017,656,17
CANADA,608317,2017,32555,17
CANADA,109867,2017,1005,16
CANADA,194796,2017,11151,16
CANADA,505161,2017,4135,16
CANADA,351972,2017,24923,16
CANADA,281394,2017,3189,16
CANADA,421279,2017,11447,16
CANADA,102299,2017,11331,16
CANADA,590422,2017,7411,16
CANADA,54690,2017,979,16
CANADA,462523,2017,1661,16
CANADA,177036,2017,438,16
CANADA,473873,2017,25806,16
CANADA,222651,2017,19491,16
CANADA,1836419,2017,28647,16
CANADA,743929,2017,19226,16
CANADA,400318,2017,54823,16
CANADA,372127,2017,17272,16
CANADA,206823,2017,13814,16
CANADA,50603,2017,1162,16
CANADA,201384,2017,18691,16
CANADA,278147,2017,10515,16
CANADA,1788176,2017,178236,16
CANADA,91951,2017,695,16
CANADA,11945,2017,11,16
CANADA,174130,2017,4565,16
CANADA,84853,2017,5375,16
CANADA,298900,2017,25293,16
CANADA,77884,2017,7126,16
CANADA,916731,2017,83323,15
CANADA,8223,2017,57,15
CANADA,70448,2017,1538,15
CANADA,114216,2017,4319,15
CANADA,3098960,2017,62490,15
CANADA,166590,2017,1691,15
CANADA,97092,2017,632,15
CANADA,319114,2017,1581,15
CANADA,758492,2017,11936,15
CANADA,234891,2017,14017,15
CANADA,2347708,2017,294179,15
CANADA,2465294,2017,99973,15
CANADA,88170,2017,2219,15
CANADA,931226,2017,115343,15
CANADA,111484,2017,808,15
CANADA,181713,2017,11006,15
CANADA,864491,2017,80631,15
CANADA,1209233,2017,100669,15
CANADA,567803,2017,43269,15
CANADA,1628016,2017,38511,15
CANADA,163882,2017,11453,15
CANADA,2863226,2017,15226,15
CANADA,264571,2017,25092,15
CANADA,238711,2017,20526,15
CANADA,17051,2017,36,15
CANADA,728572,2017,4110,15
CANADA,358122,2017,558,15
CANADA,29616,2017,156,15
CANADA,166897,2017,3514,15
CANADA,148842,2017,8972,15
CANADA,950853,2017,46506,15
CANADA,218496,2017,1296,15
CANADA,393554,2017,9393,15
CANADA,60298,2017,2219,15
CANADA,1869,2017,22,15
CANADA,482153,2017,76203,15
CANADA,48571,2017,1282,15
CANADA,16681,2017,279,14
CANADA,50328,2017,3400,14
CANADA,731639,2017,13794,14
CANADA,138544,2017,2015,14
CANADA,339884,2017,44507,14
CANADA,16959,2017,419,14
CANADA,463019,2017,40816,14
CANADA,157289,2017,1895,14
CANADA,9946060,2017,245110,14
CANADA,555499,2017,23818,14
CANADA,193967,2017,33231,14
CANADA,129420,2017,19970,14
CANADA,1397518,2017,88394,14
CANADA,30330,2017,434,14
CANADA,109878,2017,10381,14
CANADA,645101,2017,5272,14
CANADA,204841,2017,548,14
CANADA,536064,2017,4465,14
CANADA,94549,2017,1633,14
CANADA,337908,2017,11397,14
CANADA,1129476,2017,17163,14
CANADA,178068,2017,21647,14
CANADA,556200,2017,123810,14
CANADA,91861,2017,4560,14
CANADA,1292926,2017,77746,14
CANADA,220263,2017,8702,14
CANADA,2539701,2017,163807,14
CANADA,49275,2017,1007,14
CANADA,84065,2017,2218,14
CANADA,175534,2017,13509,14
CANADA,49018,2017,3724,14
CANADA,6454,2017,166,14
CANADA,158108,2017,13013,14
CANADA,770692,2017,72020,14
CANADA,141613,2017,7457,13
CANADA,79238,2017,2687,13
CANADA,466155,2017,26829,13
CANADA,22438,2017,1152,13
CANADA,20597,2017,1674,13
CANADA,17746785,2017,585588,13
CANADA,341389,2017,44134,13
CANADA,297259,2017,12967,13
CANADA,238931,2017,8649,13
CANADA,115736,2017,4186,13
CANADA,55192,2017,4684,13
CANADA,283969,2017,16131,13
CANADA,6927,2017,182,13
CANADA,302960,2017,1605,13
CANADA,96339,2017,410,13
CANADA,249568,2017,24132,13
CANADA,1979645,2017,224168,13
CANADA,144795,2017,10948,13
CANADA,411639,2017,12812,13
CANADA,157961,2017,5620,13
CANADA,108786,2017,697,13
CANADA,3058,2017,11,13
CANADA,459536,2017,38034,13
CANADA,9548677,2017,190085,13
CANADA,788158,2017,21707,13
CANADA,331035,2017,16274,13
CANADA,289183,2017,25101,13
CANADA,178447,2017,4339,13
CANADA,298286,2017,10666,13
CANADA,249090,2017,5491,13
CANADA,479046,2017,11095,13
CANADA,2987945,2017,187464,13
CANADA,157688,2017,0,13
CANADA,255373,2017,2375,13
CANADA,43889,2017,3117,13
CANADA,907759,2017,2412,13
CANADA,322818,2017,14604,13
CANADA,289831,2017,26386,13
CANADA,182861,2017,1466,13
CANADA,1707785,2017,33836,13
CANADA,444836,2017,31323,13
CANADA,275855,2017,23090,12
CANADA,70748,2017,606,12
CANADA,4117084,2017,404720,12
CANADA,100666,2017,3573,12
CANADA,355264,2017,29257,12
CANADA,44636,2017,1605,12
CANADA,91966,2017,0,12
CANADA,70628,2017,233,12
CANADA,101257,2017,13964,12
CANADA,323586,2017,21486,12
CANADA,58356,2017,4861,12
CANADA,284750,2017,508,12
CANADA,327936,2017,11643,12
CANADA,74607,2017,6798,12
CANADA,631429,2017,31119,12
CANADA,365855,2017,2159,12
CANADA,1796354,2017,260160,12
CANADA,40266,2017,2045,12
CANADA,219629,2017,3948,12
CANADA,187026,2017,786,12
CANADA,12951,2017,54,12
CANADA,95679,2017,9060,12
CANADA,1844039,2017,13424,12
CANADA,224270,2017,7006,12
CANADA,17781,2017,1494,12
CANADA,684778,2017,62970,12
CANADA,5450008,2017,292373,12
CANADA,152509,2017,23374,12
CANADA,167038,2017,1086,12
CANADA,468644,2017,27744,12
CANADA,405193,2017,41256,12
CANADA,163473,2017,4289,12
CANADA,446246,2017,8920,12
CANADA,230412,2017,32669,12
CANADA,389277,2017,4031,12
CANADA,523258,2017,0,12
CANADA,359405,2017,45716,12
CANADA,149999,2017,13081,12
CANADA,1803724,2017,57470,12
CANADA,223469,2017,28637,12
CANADA,714895,2017,59348,12
CANADA,534278,2017,44454,12
CANADA,4489524,2017,38358,12
CANADA,2180290,2017,217828,12
CANADA,168071,2017,1343,12
CANADA,530152,2017,43428,12
CANADA,3600817,2017,33171,12
CANADA,132145,2017,7833,12
CANADA,51655,2017,4308,12
CANADA,186641,2017,16717,12
CANADA,279497,2017,720,12
CANADA,108477,2017,1268,12
CANADA,966723,2017,141203,12
CANADA,147433,2017,6543,12
CANADA,175582,2017,3240,11
CANADA,873333,2017,22248,11
CANADA,58000,2017,3483,11
CANADA,396804,2017,10285,11
CANADA,29941,2017,1463,11
CANADA,335882,2017,1238,11
CANADA,541482,2017,15430,11
CANADA,58994,2017,2384,11
CANADA,1281514,2017,192656,11
CANADA,150414,2017,12495,11
CANADA,330273,2017,28828,11
CANADA,448967,2017,93717,11
CANADA,316763,2017,6237,11
CANADA,729685,2017,6656,11
CANADA,648544,2017,3787,11
CANADA,697324,2017,64059,11
CANADA,270340,2017,11916,11
CANADA,38441,2017,17318,11
CANADA,69750,2017,5787,11
CANADA,375368,2017,16497,11
CANADA,994633,2017,17514,11
CANADA,753671,2017,66771,11
CANADA,405549,2017,55327,11
CANADA,714815,2017,37261,11
CANADA,116314,2017,3819,11
CANADA,114540,2017,7271,11
CANADA,123778,2017,82,11
CANADA,396609,2017,13028,11
CANADA,3090,2017,108,11
CANADA,47096,2017,3761,11
CANADA,261603,2017,4276,11
CANADA,4223613,2017,129684,11
CANADA,43549,2017,637,11
CANADA,311961,2017,9723,11
CANADA,462458,2017,17199,11
CANADA,522012,2017,18074,11
CANADA,476718,2017,25033,11
CANADA,98548,2017,1651,11
CANADA,285499,2017,6529,11
CANADA,323450,2017,16665,11
CANADA,101363,2017,317,11
CANADA,207804,2017,1930,11
CANADA,279820,2017,15283,11
CANADA,184922,2017,8926,11
CANADA,227154,2017,10790,11
CANADA,788935,2017,15535,11
CANADA,4014544,2017,55491,11
CANADA,51505,2017,624,11
CANADA,423855,2017,8682,11
CANADA,351347,2017,34911,11
CANADA,1063140,2017,85894,11
CANADA,159201,2017,9869,11
CANADA,8267,2017,363,11
CANADA,103628,2017,1708,11
CANADA,91954,2017,8995,11
CANADA,800424,2017,9066,11
CANADA,166716,2017,758,11
CANADA,100461,2017,138,11
CANADA,127344,2017,11208,11
CANADA,15431,2017,267,11
CANADA,77016,2017,315,11
CANADA,527677,2017,38597,11
CANADA,690657,2017,60850,11
CANADA,1587706,2017,88440,11
CANADA,125273,2017,3897,11
CANADA,912643,2017,47845,11
CANADA,26664,2017,846,11
CANADA,1895,2017,269,11
CANADA,677636,2017,119246,11
CANADA,281425,2017,23169,11
CANADA,69881,2017,4131,11
CANADA,1566953,2017,98393,10
CANADA,290668,2017,3615,10
CANADA,3104,2017,25,10
CANADA,914385,2017,45710,10
CANADA,91997,2017,6425,10
CANADA,3810285,2017,249447,10
CANADA,558368,2017,36059,10
CANADA,3663141,2017,330433,10
CANADA,38545,2017,1939,10
CANADA,108037,2017,6835,10
CANADA,3418879,2017,182993,10
