,channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,Unnamed: 0,Category_name
544,Billie Eilish,19,18.20.04,Billie Eilish - lovely (with Khalid) Audio,10,2018-04-19T18:10:46.000Z,222322,28332,192,2163,False,2,Music
545,Shoshana Bean,19,17.02.12,Taylor Swift - I Did Something Bad (Cover) | By Shoshana Bean and Cynthia Erivo,10,2017-12-01T16:45:59.000Z,80811,3733,63,324,False,2,Music
546,TheWeekndVEVO,19,18.14.04,The Weeknd - Call Out My Name (Official Video),10,2018-04-12T16:00:04.000Z,7831865,477330,7317,27194,False,2,Music
547,Hunter Hayes,19,17.14.11,Hunter Hayes - You Should Be Loved (Part One Of Pictures),10,2017-11-13T15:01:18.000Z,13917,1318,24,76,False,2,Music
548,HollywoodLife,19,17.30.11,Kylie Jenner Pregnancy Reveal On Keeping Up With The Kardashians,24,2017-11-29T00:35:32.000Z,1488650,8946,2911,1650,False,11,Entertainment
549,ABC Action News,19,18.24.01,"Magnitude 8.2 earthquake strikes Alaska, tsunami watch issued for US West Coast",25,2018-01-23T10:26:31.000Z,471684,3421,345,1720,False,12,News & Politics
550,Beme News,19,17.08.12,FCC’s Guide To Ruining The Internet,25,2017-12-06T22:00:01.000Z,60221,4042,204,559,False,12,News & Politics
551,1theK (원더케이),19,17.19.11,[MV] Samuel(사무엘) _ Candy(캔디),10,2017-11-16T09:00:02.000Z,1357577,172690,1923,9445,False,2,Music
552,AdelaineMorin,19,18.25.01,"STUDIO TOUR 2018! (Makeup collection, camera equipment & more)✨💛🌼",26,2018-01-24T03:25:21.000Z,185283,12411,105,1077,False,13,Howto & Style
553,Julien Solomita,19,18.17.02,looking back,24,2018-02-15T16:00:02.000Z,123811,14291,34,1655,False,11,Entertainment
