name,value,year,lastValue,rank
IBM,57866.4,2007.4,57672.3,3
Microsoft,57853,2012,57976.4,5
Microsoft,57830.5,2005.7,58132,2
Microsoft,57827,2008.5,58063,3
Microsoft,57817.5,2006.5,57639.2,2
Samsung,57705.4,2017.4,57341.3,6
IBM,57672.3,2007.3,57478.2,3
Microsoft,57639.2,2006.4,57460.9,2
Microsoft,57591,2008.6,57827,3
Amazon,57567,2016.5,56121.2,5
IBM,57538,2015.6,58797.5,5
Microsoft,57529,2005.8,57830.5,2
Microsoft,57496.6,2009.2,57071.8,3
IBM,57478.2,2007.2,57284.1,3
Microsoft,57460.9,2006.3,57282.6,2
Microsoft,57355,2008.7,57591,3
Samsung,57341.3,2017.3,56977.2,6
IBM,57284.1,2007.1,57090,3
Microsoft,57282.6,2006.2,57104.3,2
Microsoft,57227.5,2005.9,57529,2
Microsoft,57119,2008.8,57355,3
Microsoft,57104.3,2006.1,56926,2
IBM,57090,2007,57001.1,3
Microsoft,57071.8,2009.1,56647,3
IBM,57001.1,2006.9,56912.2,3
Samsung,56977.2,2017.2,56613.1,6
Microsoft,56926,2006,57227.5,2
IBM,56912.2,2006.8,56823.3,3
Microsoft,56883,2008.9,57119,3
IBM,56823.3,2006.7,56734.4,3
Google,56757.9,2011.1,55317,4
IBM,56734.4,2006.6,56645.5,3
Microsoft,56647,2009,56883,3
IBM,56645.5,2006.5,56556.6,3
Samsung,56613.1,2017.1,56249,6
IBM,56556.6,2006.4,56467.7,3
IBM,56467.7,2006.3,56378.8,3
IBM,56378.8,2006.2,56289.9,3
IBM,56289.9,2006.1,56201,3
IBM,56278.5,2015.7,57538,5
Samsung,56249,2017,55804.9,6
IBM,56201,2006,55918.5,3
Amazon,56121.2,2016.4,54675.4,5
IBM,55918.5,2005.9,55636,3
Samsung,55804.9,2016.9,55360.8,6
IBM,55636,2005.8,55353.5,3
Samsung,55360.8,2016.8,54916.7,6
IBM,55353.5,2005.7,55071,3
Google,55317,2011,54141,4
IBM,55071,2005.6,54788.5,3
Apple,55030,2011.5,50722.4,5
IBM,55019,2015.8,56278.5,5
Samsung,54916.7,2016.7,54472.6,6
IBM,54788.5,2005.5,54506,3
Amazon,54675.4,2016.3,53229.6,5
IBM,54506,2005.4,54223.5,3
Samsung,54472.6,2016.6,54028.5,6
IBM,54223.5,2005.3,53941,3
Google,54141,2010.9,52965,4
Samsung,54028.5,2016.5,53584.4,6
IBM,53941,2005.2,53658.5,3
IBM,53791,2004,53588.6,3
IBM,53759.5,2015.9,55019,5
IBM,53749.5,2004.1,53791,3
IBM,53708,2004.2,53749.5,3
IBM,53666.5,2004.3,53708,3
IBM,53658.5,2005.1,53376,3
IBM,53625,2004.4,53666.5,3
IBM,53588.6,2003.9,53386.2,3
Samsung,53584.4,2016.4,53140.3,6
IBM,53583.5,2004.5,53625,3
